序号,NEW_TYPE,大类,中类,小类,Big Category,Mid  Category,Sub Category
587,140102,科教文化服务,博物馆,梅赛德斯-奔驰博物馆,Science/Culture & Education Service,Museum,Mercedes-Benz Museum
588,140200,科教文化服务,展览馆,展览馆,Science/Culture & Education Service,Exhibition Hall,Exhibition Hall
589,140201,科教文化服务,展览馆,室内展位,Science/Culture & Education Service,Exhibition Hall,Indoor Booth
590,140300,科教文化服务,会展中心,会展中心,Science/Culture & Education Service,Convention & Exhibition Center,Convention & Exhibition Center
591,140400,科教文化服务,美术馆,美术馆,Science/Culture & Education Service,Art Gallery,Art Gallery
592,140500,科教文化服务,图书馆,图书馆,Science/Culture & Education Service,Library,Library
593,140600,科教文化服务,科技馆,科技馆,Science/Culture & Education Service,Science & Technology Museum,Science & Technology Museum
594,140700,科教文化服务,天文馆,天文馆,Science/Culture & Education Service,Planetarium,Planetarium
595,140800,科教文化服务,文化宫,文化宫,Science/Culture & Education Service,Cultural Palace,Cultural Palace
596,140900,科教文化服务,档案馆,档案馆,Science/Culture & Education Service,Archives Hall,Archives Hall
597,141000,科教文化服务,文艺团体,文艺团体,Science/Culture & Education Service,Arts Organization,Arts Organization
598,141100,科教文化服务,传媒机构,传媒机构,Science/Culture & Education Service,Media Organization,Media Organization
599,141101,科教文化服务,传媒机构,电视台,Science/Culture & Education Service,Media Organization,TV Station
600,141102,科教文化服务,传媒机构,电台,Science/Culture & Education Service,Media Organization,Radio Station
601,141103,科教文化服务,传媒机构,报社,Science/Culture & Education Service,Media Organization,Newspaper Office
602,141104,科教文化服务,传媒机构,杂志社,Science/Culture & Education Service,Media Organization,Journal Publisher
603,141105,科教文化服务,传媒机构,出版社,Science/Culture & Education Service,Media Organization,Publishing House
604,141200,科教文化服务,学校,学校,Science/Culture & Education Service,School,School
605,141201,科教文化服务,学校,高等院校,Science/Culture & Education Service,School,University & College
606,141202,科教文化服务,学校,中学,Science/Culture & Education Service,School,Middle School
607,141203,科教文化服务,学校,小学,Science/Culture & Education Service,School,Elementary School
608,141204,科教文化服务,学校,幼儿园,Science/Culture & Education Service,School,Kindergarten
609,141205,科教文化服务,学校,成人教育,Science/Culture & Education Service,School,Adult Education
610,141206,科教文化服务,学校,职业技术学校,Science/Culture & Education Service,School,Vocational Technical School
611,141207,科教文化服务,学校,学校内部设施,Culture & Education,School,Facilities within the School
612,141300,科教文化服务,科研机构,科研机构,Science/Culture & Education Service,Research Institution,Research Institution
613,141400,科教文化服务,培训机构,培训机构,Science/Culture & Education Service,Training Institution,Training Institution
614,141500,科教文化服务,驾校,驾校,Science/Culture & Education Service,Driving School,Driving School
615,150000,交通设施服务,交通服务相关,交通服务相关,Transportation Service,Transportation Service Related,Transportation Service Related
616,150100,交通设施服务,机场相关,机场相关,Transportation Service,Airport Related,Airport Related
617,150101,交通设施服务,机场相关,候机室,Transportation Service,Airport Related,Departure Lounge
618,150102,交通设施服务,机场相关,摆渡车站,Transportation Service,Airport Related,The Ferry Station
619,150104,交通设施服务,机场相关,飞机场,Transportation Service,Airport Related,Airport
620,150105,交通设施服务,机场相关,机场出发/到达,Transportation Service,Airport Related,Airport Departure/Arrival
621,150106,交通设施服务,机场相关,直升机场,Transportation Service,Airport Related,Heliport
622,150107,交通设施服务,机场相关,机场货运处,Transportation Service,Airport Related,Airport Freight Station
623,150200,交通设施服务,火车站,火车站,Transportation Service,Railway Station,Railway Station
624,150201,交通设施服务,火车站,候车室,Transportation Service,Railway Station,Waiting Room
625,150202,交通设施服务,火车站,进站口/检票口,Transportation Service,Railway Station,Ticket Entrance
626,150203,交通设施服务,火车站,出站口,Transportation Service,Railway Station,Exit
627,150204,交通设施服务,火车站,站台,Transportation Service,Railway Station,Platform
628,150205,交通设施服务,火车站,售票,Transportation Service,Railway Station,Sell Ticket
629,150206,交通设施服务,火车站,退票,Transportation Service,Railway Station,Get a Refund for a Ticket
630,150207,交通设施服务,火车站,改签,Transportation Service,Railway Station,Endorse the Ticket
631,150208,交通设施服务,火车站,公安制证,Transportation Service,Railway Station,Public Security Accreditation
632,150209,交通设施服务,火车站,票务相关,Transportation Service,Railway Station,Ticket Business Correlation
633,150210,交通设施服务,火车站,货运火车站,Transportation Service,Railway Station,Freight Railway Station
634,150300,交通设施服务,港口码头,港口码头,Transportation Service,Port & Marina,Port & Marina
635,150301,交通设施服务,港口码头,客运港,Transportation Service,Port & Marina,Passenger Port
636,150302,交通设施服务,港口码头,车渡口,Transportation Service,Port & Marina,Ferry Terminal for Vehicle
637,150303,交通设施服务,港口码头,人渡口,Transportation Service,Port & Marina,Ferry Terminal
638,150304,交通设施服务,港口码头,货运港口码头,Transportation Service,Port & Marina,Freight Ports
639,150305,交通设施服务,港口码头,进港,Transportation Service,Port & Marina,Enter Port
640,150306,交通设施服务,港口码头,出港,Transportation Service,Port & Marina,Leave Port
641,150307,交通设施服务,港口码头,候船室,Transportation Service,Port & Marina,Waiting Hall
642,150400,交通设施服务,长途汽车站,长途汽车站,Transportation Service,Coach Station,Coach Station
643,150401,交通设施服务,长途汽车站,进站,Transportation Service,Coach Station,Way In
644,150402,交通设施服务,长途汽车站,出站,Transportation Service,Coach Station,Way Out
645,150403,交通设施服务,长途汽车站,候车室,Transportation Service,Coach Station,Waiting Room
646,150500,交通设施服务,地铁站,地铁站,Transportation Service,Subway Station,Subway Station
647,150501,交通设施服务,地铁站,出入口,Transportation Service,Subway Station,Exit
648,150600,交通设施服务,轻轨站,轻轨站,Transportation Service,Light Rail Station,Light Rail Station
649,150700,交通设施服务,公交车站,公交车站相关,Transportation Service,Bus Station,Bus Station Related
650,150701,交通设施服务,公交车站,旅游专线车站,Transportation Service,Bus Station,Tourist Routes Bus Station
651,150702,交通设施服务,公交车站,普通公交站,Transportation Service,Bus Station,Common Bus Station
652,150703,交通设施服务,公交车站,机场巴士,Transportation Service,Bus Station,Airport Bus
653,150704,交通设施服务,公交车站,快速公交站,Transportation Service,Bus Station,BRT
654,150705,交通设施服务,公交车站,电车站,Transportation Service,Bus Station,Tram 
655,150706,交通设施服务,公交车站,智轨车站,Transportation Service,Bus Station,ART
656,150800,交通设施服务,班车站,班车站,Transportation Service,Commuter Bus Station,Commuter Bus Station
657,150900,交通设施服务,停车场,停车场相关,Transportation Service,Parking Lot,Parking Lot Related
658,150903,交通设施服务,停车场,换乘停车场,Transportation Service,Parking Lot,Park-and-Ride Place
659,150904,交通设施服务,停车场,公共停车场,Transportation Service,Parking Lot,Public Parking Lot
660,150905,交通设施服务,停车场,专用停车场,Transportation Service,Parking Lot,Reserved Parking Lot
661,150906,交通设施服务,停车场,路边停车场,Transportation Service,Parking Lot,Roadside Parking Lot
662,150907,交通设施服务,停车场,停车场入口,Transportation Service,Parking Lot,Parking Lot Entrance
663,150908,交通设施服务,停车场,停车场出口,Transportation Service,Parking Lot,Parking Lot Exit
664,150909,交通设施服务,停车场,停车场出入口,Transportation Service,Parking Lot,Parking Lot Entrance & Exit
665,151000,交通设施服务,过境口岸,过境口岸,Transportation Service,Border Crossing,Border Crossing
666,151001,交通设施服务,过境口岸,旅检楼,Transportation Service,Border Crossing,Travel inspection building
667,151002,交通设施服务,过境口岸,出境,Transportation Service,Border Crossing,depart
668,151003,交通设施服务,过境口岸,入境,Transportation Service,Border Crossing,Immigration
669,151100,交通设施服务,出租车,出租车,Transportation Service,Taxi,Taxi
670,151200,交通设施服务,轮渡站,轮渡站,Transportation Service,Ferry Station,Ferry Station
671,151300,交通设施服务,索道站,索道站,Transportation Service,Ropeway Station,Ropeway Station
672,151400,交通设施服务,上下客区,上下客区,Transportation Service,Loading & Unloading Area,Loading & Unloading Area
673,151401,交通设施服务,上下客区,自驾车,Transportation Service,Loading & Unloading Area,Self Driving
674,151402,交通设施服务,上下客区,出租车,Transportation Service,Loading & Unloading Area,Taxi
675,151403,交通设施服务,上下客区,大巴车,Transportation Service,Loading & Unloading Area,Bus
676,151404,交通设施服务,上下客区,网约车,Transportation Service,Loading & Unloading Area,Online Car Hailing 
677,151405,交通设施服务,上下客区,摩托车,Transportation Service,Loading & Unloading Area,Motorcycle
678,160000,金融保险服务,金融保险服务机构,金融保险机构,Finance & Insurance Service,Finance & Insurance Service Institution,Finance & Insurance Institution
679,160100,金融保险服务,银行,银行,Finance & Insurance Service,Bank,Bank
680,160101,金融保险服务,银行,中国人民银行,Finance & Insurance Service,Bank,The People's Bank of China
681,160102,金融保险服务,银行,国家开发银行,Finance & Insurance Service,Bank,China Development Bank
682,160103,金融保险服务,银行,中国进出口银行,Finance & Insurance Service,Bank,The Export-Import Bank of China
683,160104,金融保险服务,银行,中国银行,Finance & Insurance Service,Bank,Bank of China
684,160105,金融保险服务,银行,中国工商银行,Finance & Insurance Service,Bank,ICBC
685,160106,金融保险服务,银行,中国建设银行,Finance & Insurance Service,Bank,China Construction Bank
686,160107,金融保险服务,银行,中国农业银行,Finance & Insurance Service,Bank,Agricultural Bank of China
687,160108,金融保险服务,银行,交通银行,Finance & Insurance Service,Bank,Bank of Communications
688,160109,金融保险服务,银行,招商银行,Finance & Insurance Service,Bank,China Merchants Bank
689,160110,金融保险服务,银行,华夏银行,Finance & Insurance Service,Bank,Huaxia Bank
690,160111,金融保险服务,银行,中信银行,Finance & Insurance Service,Bank,China CITIC Bank
691,160112,金融保险服务,银行,中国民生银行,Finance & Insurance Service,Bank,China Minsheng Bank
692,160113,金融保险服务,银行,中国光大银行,Finance & Insurance Service,Bank,China Everbright Bank
693,160114,金融保险服务,银行,上海银行,Finance & Insurance Service,Bank,Bank of Shanghai
694,160115,金融保险服务,银行,上海浦东发展银行,Finance & Insurance Service,Bank,Shanghai Pudong Development Bank
695,160117,金融保险服务,银行,平安银行,Finance & Insurance Service,Bank,Ping An Bank
696,160118,金融保险服务,银行,兴业银行,Finance & Insurance Service,Bank,Industrial Bank
697,160119,金融保险服务,银行,北京银行,Finance & Insurance Service,Bank,Bank of Beijing
698,160120,金融保险服务,银行,广发银行,Finance & Insurance Service,Bank,CGB
699,160121,金融保险服务,银行,农村商业银行,Finance & Insurance Service,Bank,Rural Commercial Bank
700,160122,金融保险服务,银行,香港恒生银行,Finance & Insurance Service,Bank,Hong Kong Hang Seng Bank
701,160123,金融保险服务,银行,东亚银行,Finance & Insurance Service,Bank,Bank of East Asia
702,160124,金融保险服务,银行,花旗银行,Finance & Insurance Service,Bank,Citibank
703,160125,金融保险服务,银行,渣打银行,Finance & Insurance Service,Bank,Standard Chartered Bank
704,160126,金融保险服务,银行,汇丰银行,Finance & Insurance Service,Bank,HSBC
705,160127,金融保险服务,银行,荷兰银行,Finance & Insurance Service,Bank,ABN AMRO Bank
706,160128,金融保险服务,银行,美国运通银行,Finance & Insurance Service,Bank,American Express Bank
707,160129,金融保险服务,银行,瑞士友邦银行,Finance & Insurance Service,Bank,AIG Private Bank
708,160130,金融保险服务,银行,美国银行,Finance & Insurance Service,Bank,Bank of America
709,160131,金融保险服务,银行,蒙特利尔银行,Finance & Insurance Service,Bank,Bank of Montreal
710,160132,金融保险服务,银行,纽约银行,Finance & Insurance Service,Bank,Bank of New York
711,160133,金融保险服务,银行,苏格兰皇家银行,Finance & Insurance Service,Bank,The Royal Bank of Scotland
712,160134,金融保险服务,银行,法国兴业银行,Finance & Insurance Service,Bank,Societe Generale Bank
713,160135,金融保险服务,银行,德意志银行,Finance & Insurance Service,Bank,Deutsche Bank
714,160136,金融保险服务,银行,日本三菱东京日联银行,Finance & Insurance Service,Bank,Bank of Tokyo-Mitsubishi UFJ
715,160137,金融保险服务,银行,巴克莱银行,Finance & Insurance Service,Bank,Barclays Bank
716,160138,金融保险服务,银行,摩根大通银行,Finance & Insurance Service,Bank,JPMorgan Chase Bank
717,160139,金融保险服务,银行,中国邮政储蓄银行,Finance & Insurance Service,Bank,Postal Savings Bank of China
718,160140,金融保险服务,银行,香港星展银行,Finance & Insurance Service,Bank,DBS
719,160141,金融保险服务,银行,南洋商业银行,Finance & Insurance Service,Bank,Nanyang Commercial Bank
720,160142,金融保险服务,银行,上海商业银行,Finance & Insurance Service,Bank,Shanghai Commercial Bank
721,160143,金融保险服务,银行,永亨银行,Finance & Insurance Service,Bank,Wing Hang Bank
722,160144,金融保险服务,银行,香港永隆银行,Finance & Insurance Service,Bank,Wing Lung Bank
723,160145,金融保险服务,银行,创兴银行,Finance & Insurance Service,Bank,Chong Hing Bank
724,160146,金融保险服务,银行,大新银行,Finance & Insurance Service,Bank,Dah Sing Bank
725,160147,金融保险服务,银行,中信银行(国际),Finance & Insurance Service,Bank,China CITIC Bank International
726,160148,金融保险服务,银行,大众银行(香港),Finance & Insurance Service,Bank,Public Bank (Hong Kong)
727,160149,金融保险服务,银行,北京农商银行,Finance & Insurance Service,Bank,Beijing Rural Commercial Bank
728,160150,金融保险服务,银行,上海农商银行,Finance & Insurance Service,Bank,Shanghai Rural Commercial Bank
729,160151,金融保险服务,银行,广州农商银行,Finance & Insurance Service,Bank,Guangzhou Rural Commercial Bank
730,160152,金融保险服务,银行,深圳农村商业银行,Finance & Insurance Service,Bank,Shenzhen Rural Commercial Bank
731,160200,金融保险服务,银行相关,银行相关,Finance & Insurance Service,Bank Related,Bank Related
732,160300,金融保险服务,自动提款机,自动提款机,Finance & Insurance Service,ATM,ATM
733,160301,金融保险服务,自动提款机,中国银行ATM,Finance & Insurance Service,ATM,Bank of China ATM
734,160302,金融保险服务,自动提款机,中国工商银行ATM,Finance & Insurance Service,ATM,ICBC ATM
735,160303,金融保险服务,自动提款机,中国建设银行ATM,Finance & Insurance Service,ATM,China Construction Bank ATM
736,160304,金融保险服务,自动提款机,中国农业银行ATM,Finance & Insurance Service,ATM,Agricultural Bank of China ATM
737,160305,金融保险服务,自动提款机,交通银行ATM,Finance & Insurance Service,ATM,Bank of Communications ATM
738,160306,金融保险服务,自动提款机,招商银行ATM,Finance & Insurance Service,ATM,China Merchants Bank ATM
739,160307,金融保险服务,自动提款机,华夏银行ATM,Finance & Insurance Service,ATM,Huaxia Bank ATM
740,160308,金融保险服务,自动提款机,中信银行ATM,Finance & Insurance Service,ATM,China CITIC Bank ATM
741,160309,金融保险服务,自动提款机,中国民生银行ATM,Finance & Insurance Service,ATM,China Minsheng Bank ATM
742,160310,金融保险服务,自动提款机,中国光大银行ATM,Finance & Insurance Service,ATM,China Everbright Bank ATM
743,160311,金融保险服务,自动提款机,上海银行ATM,Finance & Insurance Service,ATM,Bank of Shanghai ATM
744,160312,金融保险服务,自动提款机,上海浦东发展银行ATM,Finance & Insurance Service,ATM,Shanghai Pudong Development Bank ATM
745,160314,金融保险服务,自动提款机,平安银行ATM,Finance & Insurance Service,ATM,Ping An Bank ATM
746,160315,金融保险服务,自动提款机,兴业银行ATM,Finance & Insurance Service,ATM,Industrial Bank ATM
747,160316,金融保险服务,自动提款机,北京银行ATM,Finance & Insurance Service,ATM,Bank of Beijing ATM
748,160317,金融保险服务,自动提款机,广发银行ATM,Finance & Insurance Service,ATM,CGB ATM
749,160318,金融保险服务,自动提款机,农村商业银行ATM,Finance & Insurance Service,ATM,Rural Commercial Bank ATM
750,160319,金融保险服务,自动提款机,香港恒生银行ATM,Finance & Insurance Service,ATM,Hong Kong Hang Seng Bank ATM
751,160320,金融保险服务,自动提款机,东亚银行ATM,Finance & Insurance Service,ATM,Bank of East Asia ATM
752,160321,金融保险服务,自动提款机,花旗银行ATM,Finance & Insurance Service,ATM,Citibank ATM
753,160322,金融保险服务,自动提款机,渣打银行ATM,Finance & Insurance Service,ATM,Standard Chartered Bank ATM
754,160323,金融保险服务,自动提款机,汇丰银行ATM,Finance & Insurance Service,ATM,HSBC ATM
755,160324,金融保险服务,自动提款机,荷兰银行ATM,Finance & Insurance Service,ATM,ABN AMRO Bank ATM
756,160325,金融保险服务,自动提款机,美国运通银行ATM,Finance & Insurance Service,ATM,American Express Bank ATM
757,160326,金融保险服务,自动提款机,瑞士友邦银行ATM,Finance & Insurance Service,ATM,AIG Private Bank ATM
758,160327,金融保险服务,自动提款机,美国银行ATM,Finance & Insurance Service,ATM,Bank of America ATM
759,160328,金融保险服务,自动提款机,蒙特利尔银行ATM,Finance & Insurance Service,ATM,Bank of Montreal ATM
760,160329,金融保险服务,自动提款机,纽约银行ATM,Finance & Insurance Service,ATM,Bank of New York ATM
761,160330,金融保险服务,自动提款机,苏格兰皇家银行ATM,Finance & Insurance Service,ATM,The Royal Bank of Scotland ATM
762,160331,金融保险服务,自动提款机,法国兴业银行ATM,Finance & Insurance Service,ATM,Societe Generale Bank ATM
763,160332,金融保险服务,自动提款机,德意志银行ATM,Finance & Insurance Service,ATM,Deutsche Bank ATM
764,160333,金融保险服务,自动提款机,日本三菱东京日联银行ATM,Finance & Insurance Service,ATM,Bank of Tokyo-Mitsubishi UFJ ATM
765,160334,金融保险服务,自动提款机,巴克莱银行ATM,Finance & Insurance Service,ATM,Barclays Bank ATM
766,160335,金融保险服务,自动提款机,摩根大通银行ATM,Finance & Insurance Service,ATM,JPMorgan Chase Bank ATM
767,160336,金融保险服务,自动提款机,中国邮政储蓄银行ATM,Finance & Insurance Service,ATM,Postal Savings Bank of China ATM
768,160337,金融保险服务,自动提款机,香港星展银行ATM,Finance & Insurance Service,ATM,DBS ATM
769,160338,金融保险服务,自动提款机,南洋商业银行ATM,Finance & Insurance Service,ATM,Nanyang Commercial Bank ATM
770,160339,金融保险服务,自动提款机,上海商业银行ATM,Finance & Insurance Service,ATM,Shanghai Commercial Bank ATM
771,160340,金融保险服务,自动提款机,永亨银行ATM,Finance & Insurance Service,ATM,Wing Hang Bank ATM
772,160341,金融保险服务,自动提款机,香港永隆银行ATM,Finance & Insurance Service,ATM,Wing Lung Bank ATM
773,160342,金融保险服务,自动提款机,创兴银行ATM,Finance & Insurance Service,ATM,Chong Hing Bank ATM
774,160343,金融保险服务,自动提款机,大新银行ATM,Finance & Insurance Service,ATM,Dah Sing Bank ATM
775,160344,金融保险服务,自动提款机,中信银行(国际)ATM,Finance & Insurance Service,ATM,China CITIC Bank International ATM
776,160345,金融保险服务,自动提款机,大众银行(香港)ATM,Finance & Insurance Service,ATM,Public Bank (Hong Kong) ATM
777,160346,金融保险服务,自动提款机,北京农商银行ATM,Finance & Insurance Service,ATM,Beijing Rural Commercial Bank ATM
778,160347,金融保险服务,自动提款机,上海农商银行ATM,Finance & Insurance Service,ATM,Shanghai Rural Commercial Bank ATM
779,160348,金融保险服务,自动提款机,广州农商银行ATM,Finance & Insurance Service,ATM,Guangzhou Rural Commercial Bank ATM
780,160349,金融保险服务,自动提款机,深圳农村商业银行ATM,Finance & Insurance Service,ATM,Shenzhen Rural Commercial Bank ATM
781,160400,金融保险服务,保险公司,保险公司,Finance & Insurance Service,Insurance Company,Insurance Company
782,160401,金融保险服务,保险公司,中国人民保险公司,Finance & Insurance Service,Insurance Company,The People's Insurance Company of China
783,160402,金融保险服务,保险公司,中国人寿保险公司,Finance & Insurance Service,Insurance Company,China Life Insurance Company
784,160403,金融保险服务,保险公司,中国平安保险公司,Finance & Insurance Service,Insurance Company,Ping An Insurance Company of China
785,160404,金融保险服务,保险公司,中国再保险公司,Finance & Insurance Service,Insurance Company,China Reinsurance Company
786,160405,金融保险服务,保险公司,中国太平洋保险,Finance & Insurance Service,Insurance Company,China Pacific Insurance Company
787,160406,金融保险服务,保险公司,新华人寿保险公司,Finance & Insurance Service,Insurance Company,New China Life Insurance Company
788,160407,金融保险服务,保险公司,华泰财产保险股份有限公司,Finance & Insurance Service,Insurance Company,Huatai Property Insurance Company Ltd.
789,160408,金融保险服务,保险公司,泰康人寿保险公司,Finance & Insurance Service,Insurance Company,Taikang Life Insurance Company
790,160500,金融保险服务,证券公司,证券公司,Finance & Insurance Service,Securities Company,Securities Company
791,160501,金融保险服务,证券公司,证券营业厅,Finance & Insurance Service,Securities Company,Office of Securities Business
792,160600,金融保险服务,财务公司,财务公司,Finance & Insurance Service,Finance Company,Finance Company
793,170000,公司企业,公司企业,公司企业,Enterprises,Enterprises,Enterprises
794,170100,公司企业,知名企业,知名企业,Enterprises,Famous Enterprise,Famous Enterprise
795,170200,公司企业,公司,公司,Enterprises,Company,Company
796,170201,公司企业,公司,广告装饰,Enterprises,Company,Advertisement and Decoration
797,170202,公司企业,公司,建筑公司,Enterprises,Company,Construction Company
798,170203,公司企业,公司,医药公司,Enterprises,Company,Medical Company
799,170204,公司企业,公司,机械电子,Enterprises,Company,Machinery and Electronics
800,170205,公司企业,公司,冶金化工,Enterprises,Company,Chemical and Metallurgy
801,170206,公司企业,公司,网络科技,Enterprises,Company,Network Science and Technology
802,170207,公司企业,公司,商业贸易,Enterprises,Company,Commercial Trade
803,170208,公司企业,公司,电信公司,Enterprises,Company,Telecommunication Company
804,170209,公司企业,公司,矿产公司,Enterprises,Company,Mining Company
805,170300,公司企业,工厂,工厂,Enterprises,Factory,Factory
806,170400,公司企业,农林牧渔基地,其它农林牧渔基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Other Farming，Forestry，Animal Husbandry and Fishery Base
807,170401,公司企业,农林牧渔基地,渔场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Fishing Farm
808,170402,公司企业,农林牧渔基地,农场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Farm
809,170403,公司企业,农林牧渔基地,林场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Forest Farm
810,170404,公司企业,农林牧渔基地,牧场,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Pasture
811,170405,公司企业,农林牧渔基地,家禽养殖基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Poultry Breeding Base
812,170406,公司企业,农林牧渔基地,蔬菜基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Vegetable Planting Base
813,170407,公司企业,农林牧渔基地,水果基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Fruit Cultivation Base
814,170408,公司企业,农林牧渔基地,花卉苗圃基地,Enterprises,Farming，Forestry，Animal Husbandry and Fishery Base,Flower Nurserey Base
815,180000,道路附属设施,道路附属设施,道路附属设施,Road Furniture,Road Furniture,Road Furniture
816,180100,道路附属设施,警示信息,警示信息,Road Furniture,Warning Sign,Warning Sign
817,180101,道路附属设施,警示信息,摄像头,Road Furniture,Warning Sign,Camera
818,180102,道路附属设施,警示信息,测速设施,Road Furniture,Warning Sign,Speed Sensor
819,180103,道路附属设施,警示信息,铁路道口,Road Furniture,Warning Sign,Railway Crossing
820,180104,道路附属设施,警示信息,违章停车,Road Furniture,Warning Sign,Illegal Parking
821,180200,道路附属设施,收费站,收费站,Road Furniture,Toll Gate,Toll Gate
822,180201,道路附属设施,收费站,高速收费站,Road Furniture,Toll Gate,Expressway Toll Gate
823,180202,道路附属设施,收费站,国省道收费站,Road Furniture,Toll Gate,National and Provincial Road Toll Gate
824,180203,道路附属设施,收费站,桥洞收费站,Road Furniture,Toll Gate,Tunnel & Bridge Toll Gate
825,180300,道路附属设施,服务区,高速服务区,Road Furniture,Service Area,Expressway Service Area
826,180301,道路附属设施,服务区,高速加油站服务区,Road Furniture,Service Area,Expressway Filling Station Service Area
827,180302,道路附属设施,服务区,高速停车区,Road Furniture,Service Area,Expressway Parking Area
828,180400,道路附属设施,红绿灯,红绿灯,Road Furniture,Traffic Light,Traffic Light
829,180500,道路附属设施,路牌信息,路牌信息,Road Furniture,Signpost,Signpost
830,190000,地名地址信息,地名地址信息,地名地址信息,Place Name & Address,Place Name & Address,Place Name & Address
831,190100,地名地址信息,普通地名,普通地名,Place Name & Address,Normal Place Name,Normal Place Name
832,190101,地名地址信息,普通地名,国家名,Place Name & Address,Normal Place Name,Country Name
833,190102,地名地址信息,普通地名,省级地名,Place Name & Address,Normal Place Name,Provincial Place Name
834,190103,地名地址信息,普通地名,直辖市级地名,Place Name & Address,Normal Place Name,Municipal Place Name
835,190104,地名地址信息,普通地名,地市级地名,Place Name & Address,Normal Place Name,Prefecture-level Place Name
836,190105,地名地址信息,普通地名,区县级地名,Place Name & Address,Normal Place Name,District/County-level Place Name
837,190106,地名地址信息,普通地名,乡镇级地名,Place Name & Address,Normal Place Name,Township-level Place Name
838,190107,地名地址信息,普通地名,街道级地名,Place Name & Address,Normal Place Name,Subdistrict-level Place Name
839,190108,地名地址信息,普通地名,村庄级地名,Place Name & Address,Normal Place Name,Village-level Place Name
840,190109,地名地址信息,普通地名,村组级地名,Place Name & Address,Normal Place Name,Village Team-level Place Name
841,190200,地名地址信息,自然地名,自然地名,Place Name & Address,Natural Place Name,Natural Place Name
842,190201,地名地址信息,自然地名,海湾海峡,Place Name & Address,Natural Place Name,Gulf and Strait
843,190202,地名地址信息,自然地名,岛屿,Place Name & Address,Natural Place Name,Island
844,190203,地名地址信息,自然地名,山,Place Name & Address,Natural Place Name,Mountain
845,190204,地名地址信息,自然地名,河流,Place Name & Address,Natural Place Name,River
846,190205,地名地址信息,自然地名,湖泊,Place Name & Address,Natural Place Name,Lake
847,190206,地名地址信息,自然地名,丘陵,Place Name & Address,Natural Place Name,Hill
848,190207,地名地址信息,自然地名,山地,Place Name & Address,Natural Place Name,Mountainous Region
849,190208,地名地址信息,自然地名,冰川,Place Name & Address,Natural Place Name,Glacier
850,190209,地名地址信息,自然地名,高原,Place Name & Address,Natural Place Name,Plateau
851,190210,地名地址信息,自然地名,平原,Place Name & Address,Natural Place Name,Plain
852,190211,地名地址信息,自然地名,盆地,Place Name & Address,Natural Place Name,Basin
853,190212,地名地址信息,自然地名,沙漠,Place Name & Address,Natural Place Name,Desert
854,190213,地名地址信息,自然地名,峡谷,Place Name & Address,Natural Place Name,Canyon
855,190214,地名地址信息,自然地名,溪谷,Place Name & Address,Natural Place Name,Valley
856,190215,地名地址信息,自然地名,海沟,Place Name & Address,Natural Place Name,Oceanic Trench
857,190216,地名地址信息,自然地名,半岛,Place Name & Address,Natural Place Name,Peninsula
858,190217,地名地址信息,自然地名,湾,Place Name & Address,Natural Place Name,Bay
859,190218,地名地址信息,自然地名,洋,Place Name & Address,Natural Place Name,Ocean
860,190219,地名地址信息,自然地名,三角洲,Place Name & Address,Natural Place Name,Delta
861,190220,地名地址信息,自然地名,山脉,Place Name & Address,Natural Place Name,Mountain Range
862,190300,地名地址信息,交通地名,交通地名,Place Name & Address,Transportation Place Name,Transportation Place Name
863,190301,地名地址信息,交通地名,道路名,Place Name & Address,Transportation Place Name,Road Name
864,190302,地名地址信息,交通地名,路口名,Place Name & Address,Transportation Place Name,Name of Intersection
865,190303,地名地址信息,交通地名,环岛名,Place Name & Address,Transportation Place Name,Name of Roundabout
866,190304,地名地址信息,交通地名,高速路出口,Place Name & Address,Transportation Place Name,Expressway Exit
867,190305,地名地址信息,交通地名,高速路入口,Place Name & Address,Transportation Place Name,Expressway Entrance
868,190306,地名地址信息,交通地名,立交桥,Place Name & Address,Transportation Place Name,Motorway Interchange
869,190307,地名地址信息,交通地名,桥,Place Name & Address,Transportation Place Name,Bridge
870,190308,地名地址信息,交通地名,城市快速路出口,Place Name & Address,Transportation Place Name,Urban Expressway Exit
871,190309,地名地址信息,交通地名,城市快速路入口,Place Name & Address,Transportation Place Name,Urban Expressway Entrance
872,190310,地名地址信息,交通地名,隧道,Place Name & Address,Transportation Place Name,Tunnel
873,190311,地名地址信息,交通地名,铁路,Place Name & Address,Transportation Place Name,Railway
874,190400,地名地址信息,门牌信息,门牌信息,Place Name & Address,Address Sign,Address Sign
875,190401,地名地址信息,门牌信息,地名门牌,Place Name & Address,Address Sign,Placename Sign
876,190402,地名地址信息,门牌信息,道路门牌,Place Name & Address,Address Sign,Road Name Sign
877,190403,地名地址信息,门牌信息,楼栋号,Place Name & Address,Address Sign,Building Number
878,190500,地名地址信息,市中心,城市中心,Place Name & Address,City Center,City Center
